SAMPLE_ID	PROBESET_ID	CHROM	CHROM_POS	COPY_NUMBER
GSM887898	CN_473963	1	61723	-0.145705
GSM887898	CN_473964	1	61796	-0.074138
GSM887898	CN_473965	1	61811	0.424227
GSM887898	CN_473981	1	62908	0.453599
GSM887898	SNP_A-4265338	1	216721255	0.528913
GSM887898	SNP_A-1984209	1	216722090	-0.187262
GSM887898	SNP_A-1984210	1	216722328	0.007373
GSM887898	SNP_A-8509054	1	216722387	0.899494
GSM887898	SNP_A-1984211	1	216722622	0.197113
GSM887898	CN_470485	1	216722823	0.196347
GSM887898	SNP_A-1984212	1	216722850	0.22915
GSM887898	SNP_A-4265340	1	216725118	-0.005397
GSM887898	SNP_A-4265341	1	216725132	-0.150581
GSM887898	SNP_A-8388051	1	216728761	0.026248
GSM887898	SNP_A-8697933	1	216729883	-0.003825
GSM887898	SNP_A-8352140	1	216729936	0.248087
GSM887898	CN_470486	1	216731717	-0.285698
GSM887898	CN_470487	1	216733785	-0.179961
GSM887898	SNP_A-2212412	1	216734001	0.468665
GSM887898	SNP_A-2176913	1	216737861	0.098677
